id;address;categories;city;country;keys;menus.amountMax;menus.amountMin;menus.currency;menus.description;menus.name;name;review_overall;priceRangeCurrency;priceRangeMin;priceRangeMax;province
AVwc_h3pkufWRAb51LOO;200 E Chestnut St;Italian Restaurant,Restaurant,Italian Restaurant Streeterville;Chicago;US;us/ontariostreet/chicago/200echestnutst/833773736;;;;;Pizza Schiacchiata Alla Toscana;Francesca's On Chestnut;4.5;USD;25;40;Ontario Street
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;us/pa/westchester/145egayst/343398393;;;USD;with pepperoni;Pizza Bagel;Country Bagel Bakery;5;;;;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;us/pa/westchester/145egayst/343398393;;;USD;with mushroom;Pizza Bagel;Country Bagel Bakery;4.5;;;;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;us/pa/westchester/145egayst/343398393;;;USD;with pepperoni & mushroom;Pizza Bagel;Country Bagel Bakery;4.5;;;;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;us/pa/westchester/145egayst/343398393;2.59;2.59;USD;;Pizza Bagel (plain);Country Bagel Bakery;4.5;;;;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;us/pa/westchester/145egayst/343398393;3.29;3.29;USD;;Pizza Bagel With Mushroom;Country Bagel Bakery;4.5;;;;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;us/pa/westchester/145egayst/343398393;3.29;3.29;USD;;Pizza Bagel With Pepperoni;Country Bagel Bakery;3;;;;PA
AVwc_jdF_7pvs4fz1IZm;145 E Gay St;Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop;West Chester;US;us/pa/westchester/145egayst/343398393;3.59;3.59;USD;;Pizza Bagel With Pepperoni and Mushroom;Country Bagel Bakery;5;;;;PA
AVwc_JnXIN2L1WUfrB0m;925 Blossom Hill Road Oakridge Mall;Restaurant;San Jose;US;us/ca/sanjose/925blossomhillroadoakridgemall/-1933738733;;;;;Pizza Con Formaggio;Buca Di Beppo - San Jose - Oakridge;4;USD;0;30;CA
AVwc_KyeIN2L1WUfrB_N;26900 Newport Rd;Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor;Menifee;US;us/ca/menifee/26900newportrd/95765161;8.99;8.99;USD;BBQ Sauce, Mozzarella Cheese, diced Chicken Breast, Onions;Bbq Chicken Pizza;Giovanni's Pizza and Pasta;4.5;USD;25;40;CA
